timestamp,chamber,Counter,h2o.ambient.mmol_mol,co2.ambient.umol_mol,h2o.chamber.mmol_mol,co2.chamber.umol_mol,temp.irga.c,press.irga.kpa,flux.h2o.mmol_m2_s,flux.co2.umol_m2_s,par.current.chamber.umol_m2_s,pump.flow.chamber.lpm,pump.flow.ambient.lpm,rh.air.ambient,temp.air.ch1.c,temp.air.ch2.c,temp.air.ch3.c,temp.air.ch4.c,temp.air.ch5.c,temp.air.ch6.c,temp.air.ch7.c,temp.air.ambient.c,temp.air.ch9.c,temp.air.ch10.c,temp.air.ch11.c,temp.air.ch12.c,temp.air.ch13.c,temp.air.ch14.c,temp.air.ch15.c,temp.air.controlbox.c,par.ambient.umol_m2_s,vpd.air.ambient.kpa,vpd.air.chamber.kpa,temp.wall.ambient.c,temp.air.ambient.out.c,temp.air.current.chamber.c,rh.air.ambient.from_irga,rh.air.chamber,par.ch1.umol_m2_s,par.ch2.umol_m2_s,par.ch3.umol_m2_s,par.ch4.umol_m2_s,par.ch5.umol_m2_s,par.ch6.umol_m2_s,par.ch7.umol_m2_s,par.ch8.umol_m2_s,par.ch9.umol_m2_s,par.ch10.umol_m2_s,par.ch11.umol_m2_s,par.ch12.umol_m2_s,par.ch13.umol_m2_s,par.ch14.umol_m2_s,par.ch15.umol_m2_s,par.ch16.umol_m2_s,flux.h2o.proj_la.mmol_m2_s,flux.co2.proj_la.umol_m2_s,flux.h2o.active_la.mmol_m2_s,flux.co2.active_la.umol_m2_s,gs.mol_m2_s,gs.proj_la.umol_m2_s,gs.active_la.umol_m2_s,LE.W_m2,LE.proj_la.W_m2,LE.active_la.W_m2,H.W_m2
2020-09-25 00:15:52,10,231,20.34505,399.0627,,,33.32662,93.8979,,,,7.929389,7.786211,,17.88219,17.95823,18.22002,17.14662,18.16936,16.91812,18.06803,17.91599,27.32044,18.10181,17.22276,20.54473,17.89064,17.82305,17.36656,,0.0,0.13649782127305912,,,17.8146,18.10181,93.33133994236485,88.41384793346492,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:54,10,233,20.35869,399.8808,,,33.32662,93.8979,,,,7.932798,7.798483,,18.19085,17.8023,18.2415,17.23583,18.10641,16.87193,18.10641,17.92059,27.40781,17.7854,17.27813,20.62492,17.92903,17.7516,17.36271,,0.0,0.13580962274691477,,,17.86145,17.7854,93.36688248003114,90.3176280021307,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:56,10,235,20.34505,400.1263,,,33.32662,93.8979,,,,7.810074,7.825756,,18.07835,17.91787,18.23879,17.19927,18.10369,16.98771,18.05302,17.90097,27.28086,18.02768,17.20773,20.47097,17.93476,17.76578,17.34307,,0.0,0.13456400154067955,,,17.82493,18.02768,93.41960053784832,88.95098770193019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:32,5,211,20.38805,399.6405,,,33.3164,93.88843,,,,7.810875,7.862017,,17.98708,17.89416,18.24886,16.91318,18.3164,17.07399,18.16443,17.81812,27.56412,18.10532,17.27704,20.44737,17.92795,17.80967,17.48002,,0.0,0.12008130197708465,,,17.82657,18.3164,94.09712002503291,90.8298265250854,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:34,5,213,20.38805,399.3405,,,33.3164,93.89388,,,,7.937022,7.844287,,17.97725,17.82518,18.2728,16.90332,18.28968,17.08106,18.17993,17.83363,27.68697,18.19682,17.28411,20.33672,17.91812,17.82518,17.43635,,0.0,0.12195801549190197,,,17.83363,18.28968,94.01071825071983,91.04861660363629,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:36,5,215,20.37442,398.5222,,,33.30276,93.88843,,,,7.943841,7.823832,,17.76196,17.85491,18.18431,16.82305,18.23496,17.06852,18.13364,17.79576,27.45937,17.81266,17.25466,20.26541,17.93094,17.82956,17.39845,,0.0,0.11849824034216795,,,17.77886,18.23496,94.16673024412215,91.47912582123641,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:38,5,217,20.40169,399.4223,,,33.3164,93.89388,,,,7.800647,7.823832,,18.06837,17.70508,18.22036,16.85073,18.25413,17.04542,18.21192,17.84029,27.71005,17.98391,17.25694,20.35175,17.95857,17.76424,17.4261,,0.0,0.12153139949102593,,,17.80649,18.25413,94.03417141110828,91.6193966920375,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:40,5,219,20.37442,399.7496,,,33.30276,93.88843,,,,7.923384,7.826559,,17.82382,17.84072,18.21235,16.85117,18.30521,17.14739,18.17858,17.87452,27.71876,18.16169,17.32505,20.23448,17.89986,17.86607,17.42653,,0.0,0.12859762947752598,,,17.80692,18.30521,93.70088789018227,91.10725741817272,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:42,5,221,20.41533,400.0223,,,33.30276,93.89388,,,,7.7836,7.80883,,17.98708,17.65755,18.23198,16.85392,18.29107,17.13322,18.21509,17.90261,27.72145,17.97864,17.34471,20.44737,17.9195,17.81812,17.43774,,0.0,0.12825799829179754,,,17.83502,18.29107,93.72862171201662,91.40726063761832,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:44,5,223,20.37442,399.4768,,,33.30276,93.89388,,,,7.848378,7.827923,,17.78432,17.91106,18.29951,16.92164,18.29107,17.04014,18.24886,17.90261,27.68833,18.0631,17.30242,20.26244,17.92795,17.84347,17.44619,,0.0,0.13209919692259792,,,17.84347,18.29107,93.54080021149525,91.28508075950099,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:46,5,225,20.34714,399.3677,,,33.3164,93.88843,,,,7.879062,7.822468,,17.82382,17.74777,18.28833,17.05431,18.33898,17.012,18.17858,17.87452,27.58627,17.959,17.38425,20.2513,17.89141,17.85762,17.47727,,0.0,0.13115890584792647,,,17.84072,18.33898,93.57542860242613,90.9449275137626,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:48,5,227,20.38805,400.1587,,,33.30276,93.89388,,,,8.046122,7.849742,,17.93501,17.95191,18.31501,17.14029,18.28968,17.02182,18.21371,17.90122,27.67041,18.0786,17.37715,20.44599,17.88432,17.79983,17.44481,,0.0,0.13064052610761973,,,17.82518,18.28968,93.61156540894112,91.17080713806298,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:50,5,229,20.34714,399.4768,,,33.30276,93.89388,,,,7.817694,7.85247,,17.92656,17.98569,18.28124,17.25874,18.32345,17.0726,18.19682,17.88432,27.85254,17.9688,17.35178,20.29469,17.90967,17.91812,17.47863,,0.0,0.13230773993262915,,,17.83363,18.32345,93.52315169225677,90.67295986692375,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:52,5,231,20.38805,398.9313,,,33.30276,93.89388,,,,7.865425,7.859289,,17.81405,17.73799,18.24479,17.29834,18.29544,17.12068,18.19414,17.88164,27.69262,17.8056,17.36601,20.31724,17.90698,17.79715,17.43366,,0.0,0.12812197715688012,,,17.83094,18.29544,93.72699884922545,90.8324307911361,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:54,5,233,20.36078,399.7496,,,33.3164,93.89388,,,,7.977934,7.862017,,18.23635,17.83939,18.21102,17.35755,18.21947,17.12068,18.20258,17.89853,27.68434,18.10125,17.38292,20.42651,17.86474,17.73799,17.43366,,0.0,0.13285483997447523,,,17.7887,18.21947,93.50218358957156,91.20520184052498,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:19:56,5,235,20.36078,398.9041,,,33.3164,93.89388,,,,7.862016,7.909748,,18.05992,17.79804,18.26257,17.21465,18.27946,17.16388,18.19503,17.88253,27.6935,17.97546,17.37536,20.38538,17.88253,17.83184,17.45147,,0.0,0.13079688376857143,,,17.83184,18.27946,93.59639104809693,90.86243980416354,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:32,11,211,20.33123,400.044,,,33.27177,93.88687,,,,7.748641,7.806594,,17.92372,17.76318,18.15176,16.56175,18.1602,17.08668,18.02508,17.83079,27.69241,18.07576,17.36585,20.19935,17.88993,17.72093,17.32356,,0.0,0.1270714737946746,,,17.79699,17.36585,93.75848344558612,94.21799385084692,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:34,11,213,20.33123,400.7258,,,33.27177,93.88687,,,,7.765686,7.828412,,17.81435,17.88194,18.16911,16.54527,18.13533,17.0956,18.03399,17.83125,27.74253,17.789,17.40014,20.22504,17.83969,17.72984,17.29865,,0.0,0.12713044611416513,,,17.79745,17.40014,93.75576770511854,94.14328706586862,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:36,11,215,20.35851,399.335,,,33.28541,93.88142,,,,7.922499,7.832502,,17.94108,17.79745,18.16066,16.55374,18.12689,17.15483,18.0002,17.86504,27.66802,18.08466,17.37477,20.183,17.85659,17.74674,17.31557,,0.0,0.12901616326597012,,,17.74674,17.37477,93.67661435289585,94.58005705152803,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:38,11,217,20.33123,399.444,,,33.29905,93.88687,,,,7.908864,7.843411,,18.12642,17.83079,18.10954,16.55328,18.10954,17.16283,17.99974,17.84768,27.59304,17.75473,17.41659,20.23299,17.83923,17.64486,17.29819,,0.0,0.12923776531958653,,,17.79699,17.41659,93.65882647703924,94.11006528921195,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:40,11,219,20.30396,400.0986,,,33.28541,93.88687,,,,7.881592,7.882956,,18.02508,17.70403,18.1602,16.59563,18.15176,17.05283,18.02508,17.86458,27.66757,17.76318,17.40813,20.07321,17.88993,17.81388,17.29819,,0.0,0.13396765578325448,,,17.78009,17.40813,93.4337399137043,94.1603766228577,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:42,11,221,20.29033,400.6713,,,33.27177,93.88687,,,,7.867955,7.880229,,18.14377,17.72139,18.14377,16.61304,18.11,17.10406,18.0002,17.84814,27.56864,17.85659,17.4086,20.16618,17.89039,17.73829,17.30711,,0.0,0.13313676560521504,,,17.76365,17.4086,93.46770752051215,94.28673144977218,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:44,11,223,20.30396,400.0713,,,33.27177,93.88687,,,,7.871365,7.881592,,18.0171,17.8059,18.17755,16.68079,18.12689,17.05329,18.0171,17.85659,27.66802,17.93263,17.42551,20.36796,17.87349,17.73829,17.29865,,0.0,0.13294166000033464,,,17.78055,17.42551,93.48074944100006,94.1860638601289,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:23:46,11,225,20.27669,400.4804,,,33.28541,93.88687,,,,7.915681,7.872047,,17.84768,17.93217,18.14331,16.67186,18.12642,17.16283,18.00819,17.87303,27.71725,18.0842,17.41659,20.21617,17.85613,17.72938,17.30664,,0.0,0.1376135072380273,,,17.78854,17.41659,93.25862987866013,94.11006528921195,,,,,,,,,,,,,,,,,,,,,,,,,,,
